2Simulación,Caudal (m³/s)
943,1.814013
944,1.814013
945,1.823755
946,1.817897
947,1.810145
948,1.806294
949,1.814013
950,1.810145
951,1.817897
952,1.815953
953,1.812077
954,1.810145
955,1.810145
956,1.806294
957,1.810145
958,1.810145
959,1.810145
960,1.819846
961,1.814013
962,1.814013
963,1.821798
964,1.810145
965,1.817897
966,1.814013
967,1.814013
968,1.821798
969,1.808217
970,1.812077
971,1.812077
972,1.810145
973,1.810145
974,1.817897
975,1.812077
976,1.812077
977,1.810145
978,1.808217
979,1.812077
980,1.815953
981,1.817897
982,1.808217
983,1.817897
984,1.814013
985,1.819846
986,1.802459
987,1.823755
988,1.823755
989,1.810145
990,1.819846
991,1.804374
992,1.814013
993,1.812077
994,1.817897
995,1.810145
996,1.821798
997,1.810145
998,1.815953
999,1.810145
1000,1.814013
1001,1.817897
1002,1.817897
1003,1.815953
1004,1.804374
1005,1.823755
1006,1.817897
1007,1.804374
1008,1.810145
1009,1.808217
1010,1.812077
1011,1.819846
1012,1.804374
1013,1.808217
1014,1.817897
1015,1.812077
1016,1.812077
1017,1.819846
1018,1.812077
1019,1.804374
1020,1.817897
1021,1.808217
1022,1.819846
1023,1.812077
1024,1.815953
1025,1.821798
1026,1.817897
1027,1.817897
1028,1.814013
1029,1.815953
1030,1.815953
1031,1.815953
1032,1.810145
1033,1.821798
1034,1.817897
1035,1.808217
1036,1.810145
1037,1.812077
1038,1.815953
1039,1.804374
1040,1.808217
1041,1.817897
1042,1.810145
1043,1.812077
1044,1.812077
1045,1.814013
1046,1.808217
1047,1.817897
1048,1.814013
1049,1.817897
1050,1.804374
1051,1.825716
1052,1.815953
1053,1.821798
1054,1.819846
1055,1.812077
1056,1.812077
1057,1.808217
1058,1.814013
1059,1.812077
1060,1.817897
1061,1.804374
1062,1.808217
1063,1.804374
1064,1.819846
1065,1.812077
1066,1.814013
1067,1.815953
1068,1.817897
1069,1.814013
1070,1.814013
1071,1.812077
1072,1.810145
1073,1.802459
1074,1.812077
1075,1.814013
1076,1.817897
1077,1.817897
1078,1.806294
1079,1.815953
1080,1.817897
1081,1.814013
1082,1.814013
1083,1.814013
1084,1.804374
1085,1.814013
1086,1.810145
1087,1.815953
1088,1.814013
1089,1.812077
1090,1.814013
1091,1.819846
1092,1.814013
1093,1.806294
1094,1.814013
1095,1.815953
1096,1.812077
1097,1.808217
1098,1.808217
1099,1.815953
1100,1.823755
1101,1.806294
1102,1.815953
1103,1.815953
1104,1.812077
1105,1.815953
1106,1.814013
1107,1.815953
1108,1.815953
1109,1.810145
1110,1.815953
1111,1.812077
1112,1.814013
1113,1.821798
1114,1.808217
1115,1.819846
1116,1.806294
1117,1.815953
1118,1.804374
1119,1.815953
1120,1.825716
1121,1.814013
1122,1.815953
1123,1.812077
1124,1.815953
1125,1.810145
1126,1.817897
1127,1.814013
1128,1.817897
1129,1.808217
1130,1.819846
1131,1.815953
1132,1.817897
1133,1.821798
1134,1.819846
1135,1.810145
1136,1.823755
1137,1.812077
1138,1.810145
1139,1.814013
1140,1.814013
1141,1.804374
1142,1.817897
1143,1.819846
1144,1.808217
1145,1.814013
1146,1.815953
1147,1.808217
1148,1.814013
1149,1.817897
1150,1.808217
1151,1.812077
1152,1.812077
1153,1.815953
1154,1.814013
1155,1.819846
1156,1.815953
1157,1.812077
1158,1.810145
1159,1.815953
1160,1.819846
1161,1.808217
1162,1.817897
1163,1.814013
1164,1.800547
1165,1.817897
1166,1.817897
1167,1.810145
1168,1.819846
1169,1.821798
1170,1.815953
1171,1.810145
1172,1.819846
1173,1.815953
1174,1.810145
1175,1.808217
1176,1.810145
1177,1.817897
1178,1.817897
1179,1.810145
1180,1.817897
1181,1.812077
1182,1.815953
1183,1.815953
1184,1.812077
1185,1.819846
1186,1.815953
1187,1.823755
1188,1.808217
1189,1.804374
1190,1.817897
1191,1.815953
1192,1.819846
1193,1.815953
1194,1.812077
1195,1.810145
1196,1.810145
1197,1.810145
1198,1.814013
1199,1.815953
1200,1.810145
1201,1.810145
1202,1.819846
1203,1.815953
1204,1.812077
1205,1.808217
1206,1.821798
1207,1.808217
1208,1.815953
1209,1.814013
1210,1.814013
1211,1.825716
1212,1.808217
1213,1.817897
1214,1.817897
1215,1.810145
1216,1.808217
1217,1.808217
1218,1.823755
1219,1.812077
1220,1.815953
1221,1.815953
1222,1.814013
1223,1.815953
1224,1.825716
1225,1.808217
1226,1.815953
1227,1.812077
1228,1.817897
1229,1.821798
1230,1.815953
1231,1.810145
1232,1.812077
1233,1.808217
1234,1.823755
1235,1.810145
1236,1.808217
1237,1.819846
1238,1.814013
1239,1.815953
1240,1.810145
